name, new_code
BELFAST INTERNATIONAL AIRPORT, BFSUK2680
ST ANGELO AIRPORT, ENKUK1551
GEORGE BEST BELFAST CITY AIRPORT, BHDUK151
CITY OF DERRY AIRPORT, LDYUK220
BIRMINGHAM INTERNATIONAL AIRPORT, BHXUK3271
COVENTRY AIRPORT, CVTUK2671
LEICESTER AIRPORT, LEIUK4691
GLOUCESTERSHIRE AIRPORT, GLOUK1011
WOLVERHAMPTON HALFPENNY GREEN AIRPORT, WOVUK2831
COTSWOLD AIRPORT, GBAUK4331
TURWESTON AIRPORT, TURUK4480
WELLESBOURNE MOUNTFORD AIRPORT, WLXUK1591
MANCHESTER AIRPORT, MANUK2571
MANCHESTER WOODFORD AIRPORT, MAXUK2951
ROYAL MARINES BASE CHIVENOR AIRPORT, CHIUK271
NEWQUAY CORNWALL AIRPORT, NQYUK3900
RAF LYNEHAM, LYEUK5131
MOD BOSCOMBE DOWN AIRPORT, BOXUK4071
MOD ST. ATHAN, ATHUK1631
CARDIFF INTERNATIONAL AIRPORT, CWLUK2200
SWANSEA AIRPORT, SWSUK2991
BRISTOL AIRPORT, BRSUK6220
LIVERPOOL JOHN LENNON AIRPORT, LPLUK800
LONDON LUTON AIRPORT, LTNUK5260
PLYMOUTH CITY AIRPORT, PLHUK4760
BOURNEMOUTH AIRPORT, BOHUK380
SOUTHAMPTON AIRPORT, SOUUK440
LASHAM AIRPORT, QLAUK6180
SHOREHAM AIRPORT, ESHUK71
LONDON BIGGIN HILL AIRPORT, BQHUK5980
LONDON GATWICK AIRPORT, LGWUK2020
LONDON CITY AIRPORT, LCYUK191
FARNBOROUGH AIRPORT, FABUK2380
BLACKBUSHE AIRPORT, BBSUK3251
LONDON HEATHROW AIRPORT, LHRUK831
SOUTHEND AIRPORT, SENUK491
LYDD AIRPORT, LYXUK131
KENT INTERNATIONAL AIRPORT, MSEUK1780
CARLISLE AIRPORT, CAXUK1900
BLACKPOOL INTERNATIONAL AIRPORT, BLKUK340
HUMBERSIDE AIRPORT, HUYUK1211
BARROW WALNEY ISLAND AIRPORT, BWFUK1731
LEEDS BRADFORD AIRPORT, LBAUK6811
WARTON AIRPORT, WRTUK551
HAWARDEN AIRPORT, CEGUK451
NEWCASTLE AIRPORT, NCLUK2660
DURHAM TEES VALLEY AIRPORT, MMEUK1200
EAST MIDLANDS AIRPORT, EMAUK3060
RAF TERNHILL, TEXUK2720
RAF SHAWBURY, SHXUK2491
RAF WOODVALE, WOXUK371
KIRKWALL AIRPORT, KOIUK500
SUMBURGH AIRPORT, LSIUK200
WICK AIRPORT, WICUK1260
ABERDEEN DYCE AIRPORT, ABZUK2151
INVERNESS AIRPORT, INVUK311
GLASGOW INTERNATIONAL AIRPORT, GLAUK260
EDINBURGH AIRPORT, EDIUK1351
ISLAY AIRPORT, ILYUK560
GLASGOW PRESTWICK AIRPORT, PIKUK651
BENBECULA AIRPORT, BEBUK191
SCATSTA AIRPORT, SCSUK811
DUNDEE AIRPORT, DNDUK171
STORNOWAY AIRPORT, SYYUK260
TIREE AIRPORT, TREUK380
RAF LEUCHARS, ADXUK380
